server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,21:01:00,21:01:30,38.08,55.53,
server_1,21:01:10,21:01:40,28.6,66.67,
server_1,21:01:20,21:01:50,22.76,61.31,
server_1,21:01:30,21:02:00,41.02,53.27,
server_1,21:01:40,21:02:10,42.5,47.84,
server_1,21:01:50,21:02:20,47.24,50.02,
server_1,21:02:00,21:02:30,45.88,43.28,
server_1,21:02:10,21:02:40,65.05,49.46,
server_1,21:02:20,21:02:50,69.98,47.7,
server_1,21:02:30,21:03:00,59.95,68.66,
server_1,21:02:40,21:03:10,58.23,51.03,
server_1,21:02:50,21:03:20,49.49,49.4,
server_1,21:03:00,21:03:30,44.62,48.99,
server_1,21:03:10,21:03:40,37.03,57.11,
server_1,21:03:20,21:03:50,43.61,64.5,
server_1,21:03:30,21:04:00,56.32,48.26,
server_1,21:03:40,21:04:10,59.8,35.92,
server_1,21:03:50,21:04:20,55.56,46.13,
server_1,21:04:00,21:04:30,45.84,61.7,
server_1,21:04:10,21:04:40,51.01,70.85,
server_1,21:04:20,21:04:50,47.09,62.99,
server_1,21:04:30,21:05:00,45.65,57.64,
server_1,21:04:40,21:05:10,37.25,58.42,
server_1,21:04:50,21:05:20,52.8,60.09,
server_1,21:05:00,21:05:30,61.34,56.05,
server_1,21:05:10,21:05:40,65.39,47.9,
server_1,21:05:20,21:05:50,69.76,29.86,
server_1,21:05:30,21:06:00,58.84,21.05,
server_1,21:05:40,21:06:10,64.1,33.84,
server_1,21:05:50,21:06:20,45.99,45.28,
server_1,21:06:00,21:06:30,47.06,50.12,
server_1,21:06:10,21:06:40,34.93,42.77,
server_1,21:06:20,21:06:50,28.81,46.6,
server_1,21:06:30,21:07:00,39.2,53.51,
server_1,21:06:40,21:07:10,43.43,46.54,
server_1,21:06:50,21:07:20,59.51,36.59,
server_1,21:07:00,21:07:30,70.61,24.88,
server_1,21:07:10,21:07:40,76.8,40.02,
server_1,21:07:20,21:07:50,70.05,44.51,
server_1,21:07:30,21:08:00,68.24,44.41,
server_1,21:07:40,21:08:10,54.86,33.2,
server_1,21:07:50,21:08:20,64.03,32.58,
server_1,21:08:00,21:08:30,66.12,28.54,
server_1,21:08:10,21:08:40,68.77,29.98,
server_1,21:08:20,21:08:50,57.98,30.89,
server_1,21:08:30,21:09:00,53.47,51.55,
server_1,21:08:40,21:09:10,56.52,52.76,
server_1,21:08:50,21:09:20,49.22,58.55,
server_1,21:09:00,21:09:30,36.72,61.42,
server_1,21:09:10,21:09:40,37.34,75.61,
server_1,21:09:20,21:09:50,61.3,71.72,
server_1,21:09:30,21:10:00,65.58,60.39,
server_1,21:09:40,21:10:10,71.65,54.02,
server_1,21:09:50,21:10:20,60.02,58.49,
server_1,21:10:00,21:10:30,60.96,63.79,
server_1,21:10:10,21:10:40,59.65,51.86,
server_1,21:10:20,21:10:50,54.31,48.39,
server_1,21:10:30,21:11:00,49.37,45.58,
server_1,21:10:40,21:11:10,47.06,54.24,
server_1,21:10:50,21:11:20,49.02,49.04,
server_1,21:11:00,21:11:30,61.04,53.72,
server_1,21:11:10,21:11:40,53.93,52.16,
server_1,21:11:20,21:11:50,59.29,50.31,
server_1,21:11:30,21:12:00,51.26,37.4,
server_1,21:11:40,21:12:10,59.44,28.69,
server_1,21:11:50,21:12:20,57.08,36.31,
server_1,21:12:00,21:12:30,57.52,55.84,
server_1,21:12:10,21:12:40,48.84,60.5,
server_1,21:12:20,21:12:50,43.82,53.45,
server_1,21:12:30,21:13:00,48.36,47.95,
server_1,21:12:40,21:13:10,63.47,59.59,
server_1,21:12:50,21:13:20,63.97,61.71,
server_1,21:13:00,21:13:30,66.88,66.99,
server_1,21:13:10,21:13:40,53.33,57.33,
server_1,21:13:20,21:13:50,54.6,66.94,
server_1,21:13:30,21:14:00,52.2,52.57,
server_1,21:13:40,21:14:10,55.33,54.34,
server_1,21:13:50,21:14:20,59.54,45.12,
server_1,21:14:00,21:14:30,50.23,41.86,
server_1,21:14:10,21:14:40,54.43,43.52,
server_1,21:14:20,21:14:50,49.54,42.23,
server_1,21:14:30,21:15:00,59.48,44.2,
server_1,21:14:40,21:15:10,61.18,35.04,
server_1,21:14:50,21:15:20,71.01,46.78,
server_1,21:15:00,21:15:30,58.36,52.7,
server_1,21:15:10,21:15:40,54.82,65.56,
server_1,21:15:20,21:15:50,51.04,52.88,
server_1,21:15:30,21:16:00,58.65,54.74,
server_1,21:15:40,21:16:10,54.09,48.32,
server_1,21:15:50,21:16:20,40.18,47.3,
server_1,21:16:00,21:16:30,29.81,50.06,
server_1,21:16:10,21:16:40,36.32,58.8,
server_1,21:16:20,21:16:50,51.53,71.77,
server_1,21:16:30,21:17:00,55.3,72.97,
server_1,21:16:40,21:17:10,50.48,61.75,
server_1,21:16:50,21:17:20,40.55,62.5,
server_1,21:17:00,21:17:30,51.5,59.74,
server_1,21:17:10,21:17:40,55.91,61.45,
server_1,21:17:20,21:17:50,62.34,54.09,
server_1,21:17:30,21:18:00,59.62,57.55,
server_1,21:17:40,21:18:10,56.78,57.22,
server_1,21:17:50,21:18:20,54.18,56.4,
server_1,21:18:00,21:18:30,51.72,52.13,
server_1,21:18:10,21:18:40,54.75,59.28,
server_1,21:18:20,21:18:50,53.01,68.23,
server_1,21:18:30,21:19:00,54.19,58.13,
server_1,21:18:40,21:19:10,54.99,53.36,
server_1,21:18:50,21:19:20,63.13,38.53,
server_1,21:19:00,21:19:30,63.56,51.45,
server_1,21:19:10,21:19:40,55.29,57.95,
server_1,21:19:20,21:19:50,51.87,58.41,
server_1,21:19:30,21:20:00,40.87,52.43,
server_1,21:19:40,21:20:10,47.52,44.61,
server_1,21:19:50,21:20:20,46.88,49.02,
server_1,21:20:00,21:20:30,55.75,61.54,
server_1,21:20:10,21:20:40,49.53,63.82,
server_1,21:20:20,21:20:50,52.31,68.24,
server_1,21:20:30,21:21:00,50.43,53.04,
server_1,21:20:40,21:21:10,54.59,57.71,
server_1,21:20:50,21:21:20,54.84,58.05,
server_1,21:21:00,21:21:30,48.38,63.3,
server_1,21:21:10,21:21:40,49.53,56.42,
server_1,21:21:20,21:21:50,43.88,50.61,
server_1,21:21:30,21:22:00,41.87,51.28,
server_1,21:21:40,21:22:10,46.85,60.41,
server_1,21:21:50,21:22:20,63.77,52.29,
server_1,21:22:00,21:22:30,61.56,60.04,
server_1,21:22:10,21:22:40,57.29,55.58,
server_1,21:22:20,21:22:50,42.28,65.23,
server_1,21:22:30,21:23:00,54.18,67.88,
server_1,21:22:40,21:23:10,59.37,71.46,
server_1,21:22:50,21:23:20,63.83,68.85,
server_1,21:23:00,21:23:30,59.9,49.28,
server_1,21:23:10,21:23:40,48.67,49.3,
server_1,21:23:20,21:23:50,48.2,46.2,
server_1,21:23:30,21:24:00,42.85,57.92,
server_1,21:23:40,21:24:10,41.91,46.49,
server_1,21:23:50,21:24:20,32.55,51.18,
server_1,21:24:00,21:24:30,41.34,43.68,
server_1,21:24:10,21:24:40,45.96,50.0,
server_1,21:24:20,21:24:50,45.17,57.23,
server_1,21:24:30,21:25:00,49.36,55.86,
server_1,21:24:40,21:25:10,59.04,65.79,
server_1,21:24:50,21:25:20,61.99,55.74,
server_1,21:25:00,21:25:30,58.61,60.36,
server_1,21:25:10,21:25:40,47.47,56.18,
server_1,21:25:20,21:25:50,55.28,65.5,
server_1,21:25:30,21:26:00,56.52,64.27,
server_1,21:25:40,21:26:10,61.72,70.79,
server_1,21:25:50,21:26:20,50.27,62.87,
server_1,21:26:00,21:26:30,52.64,67.69,
server_1,21:26:10,21:26:40,59.33,52.72,
server_1,21:26:20,21:26:50,67.33,70.62,
server_1,21:26:30,21:27:00,62.38,60.89,
server_1,21:26:40,21:27:10,59.15,56.68,
server_1,21:26:50,21:27:20,55.44,40.42,
server_1,21:27:00,21:27:30,54.1,50.77,
server_1,21:27:10,21:27:40,47.52,58.55,
server_1,21:27:20,21:27:50,51.45,56.19,
server_1,21:27:30,21:28:00,54.31,52.32,
server_1,21:27:40,21:28:10,65.2,39.89,
server_1,21:27:50,21:28:20,65.53,45.36,
server_1,21:28:00,21:28:30,60.91,48.36,
server_1,21:28:10,21:28:40,49.86,56.38,
server_1,21:28:20,21:28:50,49.01,46.96,
server_1,21:28:30,21:29:00,54.25,31.56,
server_1,21:28:40,21:29:10,55.76,24.16,
server_1,21:28:50,21:29:20,47.12,35.23,
server_1,21:29:00,21:29:30,41.9,53.76,
server_1,21:29:10,21:29:40,42.19,60.54,
server_1,21:29:20,21:29:50,49.01,60.81,
server_1,21:29:30,21:30:00,55.58,48.11,
server_1,21:29:40,21:30:10,54.91,58.35,
server_1,21:29:50,21:30:20,61.71,51.8,
server_1,21:30:00,21:30:30,54.87,50.46,
server_1,21:30:10,21:30:40,56.32,43.7,
server_1,21:30:20,21:30:50,49.39,44.17,
server_1,21:30:30,21:31:00,58.4,44.88,
server_1,21:30:40,21:31:10,62.18,35.39,
server_1,21:30:50,21:31:20,57.58,34.59,
server_1,21:31:00,21:31:30,63.91,31.4,
server_1,21:31:10,21:31:40,52.46,34.96,
server_1,21:31:20,21:31:50,56.21,44.02,
server_1,21:31:30,21:32:00,43.12,49.74,
server_1,21:31:40,21:32:10,46.86,51.34,
server_1,21:31:50,21:32:20,47.67,39.69,
server_1,21:32:00,21:32:30,58.97,56.29,
server_1,21:32:10,21:32:40,58.97,68.02,
server_1,21:32:20,21:32:50,55.6,74.22,
server_1,21:32:30,21:33:00,50.24,59.53,
server_1,21:32:40,21:33:10,45.08,59.67,
server_1,21:32:50,21:33:20,45.5,65.71,
server_1,21:33:00,21:33:30,53.8,64.13,
server_1,21:33:10,21:33:40,61.81,56.55,
server_1,21:33:20,21:33:50,57.82,55.22,
server_1,21:33:30,21:34:00,44.19,55.96,
server_1,21:33:40,21:34:10,32.75,60.55,
server_1,21:33:50,21:34:20,37.2,55.49,
server_1,21:34:00,21:34:30,34.1,53.0,
server_1,21:34:10,21:34:40,50.65,40.79,
server_1,21:34:20,21:34:50,49.41,37.81,
server_1,21:34:30,21:35:00,57.74,43.46,
server_1,21:34:40,21:35:10,55.02,38.71,
server_1,21:34:50,21:35:20,68.48,40.94,
server_1,21:35:00,21:35:30,62.09,39.09,
server_1,21:35:10,21:35:40,61.75,48.32,
server_1,21:35:20,21:35:50,58.64,46.74,
server_1,21:35:30,21:36:00,59.2,51.29,
server_1,21:35:40,21:36:10,57.62,56.97,
server_1,21:35:50,21:36:20,53.12,62.02,
server_1,21:36:00,21:36:30,61.76,49.6,
server_1,21:36:10,21:36:40,58.53,44.93,
server_1,21:36:20,21:36:50,55.15,42.65,
server_1,21:36:30,21:37:00,43.54,56.26,
server_1,21:36:40,21:37:10,44.07,56.65,
server_1,21:36:50,21:37:20,33.76,60.72,
server_1,21:37:00,21:37:30,41.77,54.1,
server_1,21:37:10,21:37:40,39.78,54.64,
server_1,21:37:20,21:37:50,59.19,46.19,
server_1,21:37:30,21:38:00,50.52,40.66,
server_1,21:37:40,21:38:10,46.24,50.12,
server_1,21:37:50,21:38:20,41.3,59.25,
server_1,21:38:00,21:38:30,47.88,67.2,
server_1,21:38:10,21:38:40,59.76,52.85,
server_1,21:38:20,21:38:50,64.03,58.05,
server_1,21:38:30,21:39:00,65.66,46.35,
server_1,21:38:40,21:39:10,61.12,53.37,
server_1,21:38:50,21:39:20,54.21,55.3,
server_1,21:39:00,21:39:30,51.03,64.71,
server_1,21:39:10,21:39:40,52.52,74.54,
server_1,21:39:20,21:39:50,59.48,71.03,
server_1,21:39:30,21:40:00,68.16,77.86,
server_1,21:39:40,21:40:10,71.02,73.54,
server_1,21:39:50,21:40:20,63.03,67.45,
server_1,21:40:00,21:40:30,54.85,73.89,
server_1,21:40:10,21:40:40,47.38,67.19,
server_1,21:40:20,21:40:50,46.84,65.24,
server_1,21:40:30,21:41:00,34.91,54.82,
server_1,21:40:40,21:41:10,40.07,58.91,
server_1,21:40:50,21:41:20,39.02,57.44,
server_1,21:41:00,21:41:30,54.35,60.08,
server_1,21:41:10,21:41:40,47.54,51.86,
server_1,21:41:20,21:41:50,43.83,46.44,
server_1,21:41:30,21:42:00,39.59,41.69,
server_1,21:41:40,21:42:10,48.53,45.61,
server_1,21:41:50,21:42:20,54.4,53.96,
server_1,21:42:00,21:42:30,60.51,54.05,
server_1,21:42:10,21:42:40,55.88,55.31,
server_1,21:42:20,21:42:50,49.96,44.5,
server_1,21:42:30,21:43:00,53.48,49.87,
server_1,21:42:40,21:43:10,61.81,60.08,
server_1,21:42:50,21:43:20,73.59,66.63,
server_1,21:43:00,21:43:30,59.22,57.42,
server_1,21:43:10,21:43:40,42.45,47.55,
server_1,21:43:20,21:43:50,38.84,38.31,
server_1,21:43:30,21:44:00,49.26,37.71,
server_1,21:43:40,21:44:10,48.5,41.19,
server_1,21:43:50,21:44:20,50.51,45.58,
server_1,21:44:00,21:44:30,54.45,48.59,
server_1,21:44:10,21:44:40,60.33,51.68,
server_1,21:44:20,21:44:50,56.46,59.56,
server_1,21:44:30,21:45:00,43.76,62.24,
server_1,21:44:40,21:45:10,38.92,61.37,
server_1,21:44:50,21:45:20,41.94,64.01,
server_1,21:45:00,21:45:30,48.66,63.12,
server_1,21:45:10,21:45:40,53.24,50.76,
server_1,21:45:20,21:45:50,46.29,43.91,
server_1,21:45:30,21:46:00,47.66,40.99,
server_1,21:45:40,21:46:10,56.21,47.73,
server_1,21:45:50,21:46:20,61.22,46.39,
server_1,21:46:00,21:46:30,61.6,50.8,
server_1,21:46:10,21:46:40,48.63,52.87,
server_1,21:46:20,21:46:50,53.54,62.5,
server_1,21:46:30,21:47:00,43.24,68.2,
server_1,21:46:40,21:47:10,50.66,61.33,
server_1,21:46:50,21:47:20,48.86,61.43,
server_1,21:47:00,21:47:30,68.11,39.31,
server_1,21:47:10,21:47:40,67.08,42.29,
server_1,21:47:20,21:47:50,60.51,49.64,
server_1,21:47:30,21:48:00,42.47,59.0,
server_1,21:47:40,21:48:10,47.36,54.32,
server_1,21:47:50,21:48:20,52.29,45.9,
server_1,21:48:00,21:48:30,55.84,50.12,
server_1,21:48:10,21:48:40,60.78,65.55,
server_1,21:48:20,21:48:50,52.19,53.8,
server_1,21:48:30,21:49:00,59.91,47.14,
server_1,21:48:40,21:49:10,41.7,38.86,
server_1,21:48:50,21:49:20,39.84,48.15,
server_1,21:49:00,21:49:30,34.93,44.73,
server_1,21:49:10,21:49:40,51.73,39.58,
server_1,21:49:20,21:49:50,72.93,35.21,
server_1,21:49:30,21:50:00,69.61,45.69,
server_1,21:49:40,21:50:10,69.03,40.24,
server_1,21:49:50,21:50:20,55.34,46.97,
server_1,21:50:00,21:50:30,46.61,50.4,
server_1,21:50:10,21:50:40,35.91,54.23,
server_1,21:50:20,21:50:50,34.59,46.73,
server_1,21:50:30,21:51:00,38.52,48.88,
server_1,21:50:40,21:51:10,34.6,45.27,
server_1,21:50:50,21:51:20,40.75,40.14,
server_1,21:51:00,21:51:30,59.74,45.37,
server_1,21:51:10,21:51:40,82.89,50.73,
server_1,21:51:20,21:51:50,77.55,61.81,
server_1,21:51:30,21:52:00,59.04,60.32,
server_1,21:51:40,21:52:10,50.96,69.13,
server_1,21:51:50,21:52:20,43.05,58.29,
server_1,21:52:00,21:52:30,50.2,51.42,
server_1,21:52:10,21:52:40,44.95,47.56,
server_1,21:52:20,21:52:50,48.04,61.65,
server_1,21:52:30,21:53:00,44.62,58.6,
server_1,21:52:40,21:53:10,54.65,46.04,
server_1,21:52:50,21:53:20,60.71,42.98,
server_1,21:53:00,21:53:30,72.7,54.38,
server_1,21:53:10,21:53:40,53.47,56.37,
server_1,21:53:20,21:53:50,48.59,54.5,
server_1,21:53:30,21:54:00,45.19,49.51,
server_1,21:53:40,21:54:10,63.65,64.69,
server_1,21:53:50,21:54:20,82.49,79.47,
server_1,21:54:00,21:54:30,72.1,82.89,
server_1,21:54:10,21:54:40,70.03,81.82,
server_1,21:54:20,21:54:50,52.43,69.06,
server_1,21:54:30,21:55:00,52.71,58.98,
server_1,21:54:40,21:55:10,49.02,57.56,
server_1,21:54:50,21:55:20,51.61,54.41,
server_1,21:55:00,21:55:30,53.8,58.51,
server_1,21:55:10,21:55:40,43.33,46.07,
server_1,21:55:20,21:55:50,45.6,51.49,
server_1,21:55:30,21:56:00,55.92,47.86,
server_1,21:55:40,21:56:10,61.11,54.1,
server_1,21:55:50,21:56:20,62.69,53.12,
server_1,21:56:00,21:56:30,44.15,56.08,
server_1,21:56:10,21:56:40,49.58,49.56,
server_1,21:56:20,21:56:50,46.3,57.94,
server_1,21:56:30,21:57:00,46.16,69.75,
server_1,21:56:40,21:57:10,42.02,74.57,
server_1,21:56:50,21:57:20,34.6,67.59,
server_1,21:57:00,21:57:30,35.73,59.03,
server_1,21:57:10,21:57:40,37.38,62.95,
server_1,21:57:20,21:57:50,46.11,56.12,
server_1,21:57:30,21:58:00,60.89,58.19,
server_1,21:57:40,21:58:10,57.62,58.2,
server_1,21:57:50,21:58:20,44.11,62.3,
server_1,21:58:00,21:58:30,38.9,68.21,
server_1,21:58:10,21:58:40,38.61,64.65,
server_1,21:58:20,21:58:50,53.16,63.75,
server_1,21:58:30,21:59:00,49.45,48.1,
server_1,21:58:40,21:59:10,49.44,51.54,
server_1,21:58:50,21:59:20,54.1,44.3,
server_1,21:59:00,21:59:30,48.57,51.22,
server_1,21:59:10,21:59:40,53.51,54.99,
server_1,21:59:20,21:59:50,53.66,48.04,
server_1,21:59:30,22:00:00,62.22,42.77,
server_1,21:59:40,22:00:10,65.13,32.51,
server_1,21:59:50,22:00:20,64.15,34.89,
server_1,22:00:00,22:00:30,59.69,34.75,
server_1,22:00:10,22:00:40,53.05,34.76,
server_1,22:00:20,22:00:50,44.7,43.9,
server_1,22:00:30,22:01:00,53.12,51.04,
server_1,22:00:40,22:01:10,48.53,65.89,
server_1,22:00:50,22:01:20,50.14,76.41,
server_1,22:01:00,22:01:30,54.63,76.82,
server_1,22:01:10,22:01:40,58.84,67.88,
server_1,22:01:20,22:01:50,62.83,52.78,
server_1,22:01:30,22:02:00,60.25,39.57,
server_1,22:01:40,22:02:10,49.37,45.25,
server_1,22:01:50,22:02:20,42.7,48.03,
server_1,22:02:00,22:02:30,39.76,47.43,
server_1,22:02:10,22:02:40,48.52,39.58,
server_1,22:02:20,22:02:50,61.58,35.25,
server_1,22:02:30,22:03:00,64.0,34.94,
server_1,22:02:40,22:03:10,57.75,40.07,
server_1,22:02:50,22:03:20,42.53,44.02,
server_1,22:03:00,22:03:30,38.21,55.84,
server_1,22:03:10,22:03:40,41.79,53.34,
server_1,22:03:20,22:03:50,44.35,53.41,
server_1,22:03:30,22:04:00,40.76,51.1,
server_1,22:03:40,22:04:10,47.07,48.81,
server_1,22:03:50,22:04:20,49.42,58.13,
server_1,22:04:00,22:04:30,56.11,60.66,
server_1,22:04:10,22:04:40,55.03,76.46,
server_1,22:04:20,22:04:50,61.9,78.62,
server_1,22:04:30,22:05:00,63.1,79.99,
server_1,22:04:40,22:05:10,70.11,74.9,
server_1,22:04:50,22:05:20,63.33,76.98,
server_1,22:05:00,22:05:30,57.61,65.15,
server_1,22:05:10,22:05:40,52.34,61.44,
server_1,22:05:20,22:05:50,42.57,55.44,
server_1,22:05:30,22:06:00,42.72,62.72,
server_1,22:05:40,22:06:10,41.26,55.51,
server_1,22:05:50,22:06:20,48.12,59.55,
server_1,22:06:00,22:06:30,42.35,55.92,
server_1,22:06:10,22:06:40,46.13,54.81,
server_1,22:06:20,22:06:50,51.15,43.19,
server_1,22:06:30,22:07:00,60.71,48.96,
server_1,22:06:40,22:07:10,49.36,43.07,
server_1,22:06:50,22:07:20,51.88,51.61,
server_1,22:07:00,22:07:30,56.24,42.09,
server_1,22:07:10,22:07:40,58.41,51.6,
server_1,22:07:20,22:07:50,52.88,42.59,
server_1,22:07:30,22:08:00,38.92,54.29,
server_1,22:07:40,22:08:10,48.58,62.44,
server_1,22:07:50,22:08:20,49.59,63.8,
server_1,22:08:00,22:08:30,59.35,62.31,
server_1,22:08:10,22:08:40,59.4,51.9,
server_1,22:08:20,22:08:50,48.7,64.94,
server_1,22:08:30,22:09:00,34.19,67.62,
server_1,22:08:40,22:09:10,25.37,65.89,
server_1,22:08:50,22:09:20,38.76,59.5,
server_1,22:09:00,22:09:30,45.62,49.71,
server_1,22:09:10,22:09:40,42.09,56.31,
server_1,22:09:20,22:09:50,43.48,51.21,
server_1,22:09:30,22:10:00,49.23,55.35,
server_1,22:09:40,22:10:10,63.52,44.72,
server_1,22:09:50,22:10:20,61.73,43.84,
server_1,22:10:00,22:10:30,56.13,37.48,
server_1,22:10:10,22:10:40,42.97,40.64,
server_1,22:10:20,22:10:50,28.82,56.13,
server_1,22:10:30,22:11:00,30.52,69.78,
server_1,22:10:40,22:11:10,49.73,72.23,
server_1,22:10:50,22:11:20,64.02,55.17,
server_1,22:11:00,22:11:30,79.39,33.05,
server_1,22:11:10,22:11:40,64.46,36.49,
server_1,22:11:20,22:11:50,57.14,38.59,
server_1,22:11:30,22:12:00,51.33,44.94,
server_1,22:11:40,22:12:10,60.67,55.85,
server_1,22:11:50,22:12:20,66.39,59.7,
server_1,22:12:00,22:12:30,63.12,73.49,
server_1,22:12:10,22:12:40,50.79,71.05,
server_1,22:12:20,22:12:50,55.23,70.15,
server_1,22:12:30,22:13:00,39.26,68.41,
server_1,22:12:40,22:13:10,42.74,59.41,
server_1,22:12:50,22:13:20,35.87,51.82,
server_1,22:13:00,22:13:30,45.41,47.99,
server_1,22:13:10,22:13:40,41.8,53.65,
server_1,22:13:20,22:13:50,32.3,60.25,
server_1,22:13:30,22:14:00,37.37,60.31,
server_1,22:13:40,22:14:10,51.4,63.28,
server_1,22:13:50,22:14:20,58.66,55.59,
server_1,22:14:00,22:14:30,62.96,59.27,
server_1,22:14:10,22:14:40,57.8,52.71,
server_1,22:14:20,22:14:50,49.88,61.99,
server_1,22:14:30,22:15:00,36.95,52.45,
server_1,22:14:40,22:15:10,25.55,56.55,
server_1,22:14:50,22:15:20,34.17,52.45,
server_1,22:15:00,22:15:30,44.18,68.53,
server_1,22:15:10,22:15:40,55.3,50.61,
server_1,22:15:20,22:15:50,57.75,48.68,
server_1,22:15:30,22:16:00,57.42,38.26,
server_1,22:15:40,22:16:10,60.71,48.47,
server_1,22:15:50,22:16:20,64.53,52.89,
server_1,22:16:00,22:16:30,66.98,48.28,
server_1,22:16:10,22:16:40,56.77,46.41,
server_1,22:16:20,22:16:50,52.85,42.99,
server_1,22:16:30,22:17:00,44.69,46.47,
server_1,22:16:40,22:17:10,47.96,46.93,
server_1,22:16:50,22:17:20,45.09,43.38,
server_1,22:17:00,22:17:30,47.24,41.22,
server_1,22:17:10,22:17:40,47.38,45.83,
server_1,22:17:20,22:17:50,56.15,57.0,
server_1,22:17:30,22:18:00,54.88,55.62,
server_1,22:17:40,22:18:10,51.9,61.22,
server_1,22:17:50,22:18:20,42.3,66.42,
server_1,22:18:00,22:18:30,59.1,60.1,
server_1,22:18:10,22:18:40,60.77,51.07,
server_1,22:18:20,22:18:50,64.47,41.22,
server_1,22:18:30,22:19:00,51.39,42.03,
server_1,22:18:40,22:19:10,51.05,58.04,
server_1,22:18:50,22:19:20,49.51,55.38,
server_1,22:19:00,22:19:30,42.14,60.18,
server_1,22:19:10,22:19:40,41.89,41.93,
server_1,22:19:20,22:19:50,47.02,50.34,
server_1,22:19:30,22:20:00,54.29,45.04,
server_1,22:19:40,22:20:10,55.34,46.98,
server_1,22:19:50,22:20:20,50.43,40.1,
server_1,22:20:00,22:20:30,41.04,52.16,
server_1,22:20:10,22:20:40,47.65,58.2,
server_1,22:20:20,22:20:50,44.45,53.16,
server_1,22:20:30,22:21:00,53.67,55.49,
server_1,22:20:40,22:21:10,52.06,56.12,
server_1,22:20:50,22:21:20,48.38,63.74,
server_1,22:21:00,22:21:30,50.95,49.81,
server_1,22:21:10,22:21:40,52.25,42.19,
server_1,22:21:20,22:21:50,58.11,34.84,
server_1,22:21:30,22:22:00,64.25,47.01,
server_1,22:21:40,22:22:10,71.88,37.71,
server_1,22:21:50,22:22:20,70.93,40.52,
server_1,22:22:00,22:22:30,54.01,46.0,
server_1,22:22:10,22:22:40,29.01,70.72,
server_1,22:22:20,22:22:50,28.9,72.22,
server_1,22:22:30,22:23:00,33.0,63.72,
server_1,22:22:40,22:23:10,43.15,46.77,
server_1,22:22:50,22:23:20,42.72,53.0,
server_1,22:23:00,22:23:30,53.65,50.58,
server_1,22:23:10,22:23:40,50.35,56.26,
server_1,22:23:20,22:23:50,60.57,40.69,
server_1,22:23:30,22:24:00,47.32,47.52,
server_1,22:23:40,22:24:10,52.63,50.22,
server_1,22:23:50,22:24:20,49.35,59.87,
server_1,22:24:00,22:24:30,50.91,51.97,
server_1,22:24:10,22:24:40,49.38,43.24,
server_1,22:24:20,22:24:50,48.3,36.07,
server_1,22:24:30,22:25:00,47.88,36.71,
server_1,22:24:40,22:25:10,38.52,45.88,
server_1,22:24:50,22:25:20,43.66,60.5,
server_1,22:25:00,22:25:30,49.43,63.29,
server_1,22:25:10,22:25:40,58.5,56.65,
server_1,22:25:20,22:25:50,68.27,63.9,
server_1,22:25:30,22:26:00,57.64,71.55,
server_1,22:25:40,22:26:10,51.52,68.66,
